Timestamp,Age,Gender,Occupation Status,What type of organizations are you affiliated with?,Do you use social media?,What social media platforms do you commonly use?,What is the average time you spend on social media every day?,"On a scale of 1 to 5, how often do you find yourself using social media without a specific purpose? ","On a scale of 1 to 5, how often do you get distracted by social media when you are busy doing something? ","On a scale of 1 to 5, how often do you feel restless if you haven't used social media in a while? ","On a scale of 1 to 5, how much are you bothered by worries? ","On a scale of 1-5, how often do you compare yourself to other successful people through the use of social media? ","On a scale of 1 to 5, how frequently does your interest in daily activities fluctuate? ","On a scale of 1 to 5, how often do you face issues regarding sleep? ","On a scale of 1 to 5, how often do you face issues regarding your appetite? "
2024/09/04 10:28:52 am GMT+5:30,25,Male,Salaried Worker,Private,Yes,Facebook;Twitter;Discord,2 to 4 hours,3,2,3,2,3,2,2,2
2024/09/04 11:06:13 am GMT+5:30,22,Female,Salaried Worker,Private,Yes,Facebook;Instagram;YouTube;Snapchat;Discord,4 to 6 hours,4,3,3,3,4,3,4,3
2024/09/04 11:06:57 am GMT+5:30,22,Male,University Student,University,Yes,Instagram;Twitter;YouTube;Snapchat,4 to 6 hours,4,4,2,4,4,3,3,3
2024/09/04 11:07:22 am GMT+5:30,20,Male,University Student,University,Yes,Facebook;Instagram;Twitter;YouTube;Snapchat;Discord,4 to 6 hours,4,3,4,2,2,3,3,3
2024/09/04 11:07:45 am GMT+5:30,21,Male,University Student,University,Yes,Facebook;Instagram;Twitter;YouTube;Snapchat,4 to 6 hours,5,4,4,4,4,2,3,4
2024/09/04 11:08:13 am GMT+5:30,20,Female,University Student,University,Yes,Instagram;YouTube;Snapchat;Pinterest,4 to 6 hours,4,3,4,4,3,3,4,3
2024/09/04 11:08:39 am GMT+5:30,22,Male,University Student,University,Yes,Instagram;Twitter;YouTube;Snapchat,2 to 4 hours,4,2,3,3,4,2,4,3
2024/09/04 11:09:04 am GMT+5:30,22,Male,University Student,University,Yes,Instagram;YouTube;Pinterest,1 to 2 hours,1,2,1,3,2,2,3,2
2024/09/04 11:09:30 am GMT+5:30,21,Female,University Student,University,Yes,Instagram;Twitter;YouTube,1 to 2 hours,3,2,2,2,3,3,2,1
2024/09/04 11:09:54 am GMT+5:30,21,Female,University Student,University,Yes,Instagram;Snapchat;Pinterest,1 to 2 hours,3,2,4,3,2,3,3,2
2024/09/04 11:10:17 am GMT+5:30,22,Male,University Student,University,Yes,Instagram;Twitter;YouTube;Snapchat,2 to 4 hours,4,2,2,3,3,3,3,2
